problem_idx,problem_id,b_i,rating,kc_names
639,1237-B,-1.88888889,1300,data structures;sortings;two pointers;Monotonic Stack;Two Pointers on Sorted Array
640,1166-C,-1.44444444,1500,binary search;sortings;two pointers;Binary Search on Answer
641,1328-F,0.11111111,2200,greedy;Greedy Sorting
642,1665-E,0.77777778,2500,bitmasks;brute force;data structures;divide and conquer;greedy;implementation;two pointers;Bitmask Enumeration
643,587-E,1.66666667,2900,data structures;Segment Tree
644,1270-E,0.33333333,2300,constructive algorithms;geometry;math;Orientation Test
645,1783-C,-1.00000000,1700,binary search;greedy;sortings;Greedy Sorting
646,893-D,-0.55555556,1900,data structures;dp;greedy;implementation
647,592-E,1.22222222,2700,binary search;geometry;two pointers;Two Pointers on Sorted Array
648,1270-C,-1.66666667,1400,bitmasks;constructive algorithms;math;Bitmask Enumeration
649,23-B,-1.22222222,1600,constructive algorithms;graphs;math;Graph Representation
650,455-C,-0.11111111,2100,dp;dsu;graphs;ternary search;trees;Tree Diameter
651,1985-D,-2.77777778,900,implementation;math
652,617-E,0.11111111,2200,data structures;Mo's Algorithm
653,1970-C3,-0.55555556,1900,dp;games;graphs;trees;Tree DFS;Tree DP
654,1970-C2,-1.00000000,1700,dp;games;graphs;trees;Tree DFS;Tree DP
655,1970-C1,-1.66666667,1400,games
656,60-D,0.77777778,2500,brute force;dsu;math;Connected Components;GCD
657,1846-A,-3.00000000,800,implementation;math;Simulation
658,1846-B,-3.00000000,800,brute force;implementation;strings;Brute Force Enumeration
659,1846-E2,-0.77777778,1800,binary search;brute force;implementation;math;Brute Force Enumeration;Fast Exponentiation
660,1846-C,-2.11111111,1200,constructive algorithms;data structures;dp;greedy;sortings
661,1853-A,-3.00000000,800,brute force;greedy;math
662,1857-C,-2.11111111,1200,greedy;sortings;Custom Comparator Sorting;Greedy Sorting
663,1857-D,-1.88888889,1300,math;sortings;trees;Difference Array
664,1862-A,-3.00000000,800,dp;greedy;implementation;strings;Simulation;String Matching
665,1862-B,-3.00000000,800,constructive algorithms;Simulation
666,1862-C,-2.33333333,1100,binary search;data structures;implementation;sortings;Simulation
667,1742-D,-2.33333333,1100,brute force;greedy;number theory
668,1006-E,-1.22222222,1600,graphs;trees;Tree DFS
669,1036-D,-1.22222222,1600,greedy;two pointers;Two Pointers on Sorted Array
670,1036-B,-1.22222222,1600,math
671,1033-C,-1.22222222,1600,brute force;dp;games;DP on DAG
672,1873-F,-1.88888889,1300,binary search;greedy;math;two pointers;Sliding Window
673,1882-A,-3.00000000,800,greedy
674,1027-D,-1.00000000,1700,graphs;Cycle Detection;DFS
675,1027-C,-1.22222222,1600,greedy;Greedy Sorting
676,1006-D,-1.00000000,1700,implementation
677,1678-B2,-0.77777778,1800,dp;greedy;implementation;1D DP;Activity Selection
678,1917-C,-1.22222222,1600,brute force;greedy;implementation;math;Brute Force Enumeration
679,1917-F,0.77777778,2500,bitmasks;constructive algorithms;dp;trees;Knapsack;Tree Diameter
680,1593-E,-1.22222222,1600,brute force;data structures;graphs;greedy;implementation;trees;Greedy Sorting
681,1922-A,-3.00000000,800,constructive algorithms;implementation;strings
682,1922-D,-0.55555556,1900,brute force;data structures;dsu;implementation;math
683,1324-F,-0.77777778,1800,dp;graphs;trees;Tree DP
684,135-B,-1.22222222,1600,brute force;geometry;math;Distance Between Points
685,1454-D,-1.88888889,1300,constructive algorithms;math;number theory;Prime Factorization;Simulation
686,1305-C,-1.22222222,1600,brute force;combinatorics;math;number theory;Modular Arithmetic
687,1433-E,-1.88888889,1300,combinatorics;math;Combinations;Permutations
688,1926-F,0.11111111,2200,bitmasks;brute force;dp;graphs;implementation
689,1926-B,-3.00000000,800,geometry;implementation;Simulation
690,111-B,-0.55555556,1900,binary search;data structures;number theory;Prime Sieve
691,182-D,-1.66666667,1400,brute force;hashing;implementation;math;strings
692,1923-B,-2.33333333,1100,dp;greedy;implementation;Greedy Sorting
693,1032-C,-1.00000000,1700,constructive algorithms;dp;2D DP
694,1003-D,-1.22222222,1600,greedy
695,1937-A,-3.00000000,800,implementation;math;Divisors
696,1937-B,-1.88888889,1300,dp;greedy;implementation;Simulation
697,1433-G,-0.11111111,2100,brute force;graphs;shortest paths;Brute Force Enumeration;Dijkstra
698,1955-D,-1.66666667,1400,data structures;two pointers;Hash Map;Sliding Window
699,1955-E,-1.00000000,1700,brute force;greedy;implementation;sortings;Prefix Sum
700,510-C,-1.22222222,1600,graphs;sortings;Topological Sort
701,999-E,-0.33333333,2000,graphs;greedy;Greedy Sorting;Strongly Connected Components
702,329-B,-1.44444444,1500,graphs;shortest paths;BFS
703,488-A,-2.33333333,1100,brute force
704,1985-H2,0.11111111,2200,data structures;dp;dsu;graphs;implementation
705,797-E,-0.33333333,2000,brute force;data structures;dp;Sqrt Decomposition
706,1659-A,-2.55555556,1000,constructive algorithms;greedy;implementation;math;Activity Selection;Simulation
707,1659-B,-1.88888889,1300,bitmasks;constructive algorithms;greedy;strings;Bitmask Enumeration;Simulation
708,1659-C,-1.44444444,1500,binary search;brute force;dp;greedy;implementation;math;Binary Search on Array;Brute Force Enumeration
709,1659-D,-0.55555556,1900,constructive algorithms;data structures;greedy;implementation;math;two pointers;Simulation;Stack
710,342-E,0.55555556,2400,data structures;divide and conquer;trees;Tree DFS
711,1129-A2,-0.77777778,1800,brute force;greedy;Brute Force Enumeration
712,1129-A1,-1.00000000,1700,brute force;greedy;Brute Force Enumeration
713,427-D,0.11111111,2200,dp;string suffix structures;strings;Suffix Automaton
714,514-C,-0.33333333,2000,binary search;data structures;hashing;string suffix structures;strings;String Matching
715,346-B,-0.33333333,2000,dp;strings;2D DP;KMP
716,808-G,0.33333333,2300,dp;strings;1D DP;KMP
717,128-B,-0.11111111,2100,brute force;constructive algorithms;hashing;implementation;string suffix structures;strings;Suffix Array
718,1288-C,-1.22222222,1600,combinatorics;dp;Modular Combinations
719,1203-B,-2.11111111,1200,greedy;math
720,1111-C,-1.00000000,1700,binary search;brute force;divide and conquer;math;Binary Search on Answer
721,1111-B,-1.00000000,1700,brute force;implementation;math;Prefix Sum
722,1060-E,-0.33333333,2000,dp;graphs;trees;Tree DP
723,69-D,-0.55555556,1900,dp;games;1D DP;BFS
724,1060-D,-0.55555556,1900,greedy;math
725,1044-C,-0.11111111,2100,dp;geometry;Distance Between Points
726,670-C,-1.88888889,1300,implementation;sortings;Hash Map
727,417-A,-1.44444444,1500,dp;implementation;math
728,451-E,0.33333333,2300,bitmasks;combinatorics;number theory;Inclusion-Exclusion
729,311-B,0.55555556,2400,data structures;dp;1D DP
730,679-E,2.11111111,3100,data structures
731,949-E,1.22222222,2700,brute force;Brute Force Enumeration;Recursion
732,1156-E,0.11111111,2200,data structures;divide and conquer;dsu;two pointers;Two Pointers on Sorted Array
733,16-E,-0.55555556,1900,bitmasks;dp;probabilities;1D DP;Bitmask Enumeration
734,1734-F,0.77777778,2500,bitmasks;divide and conquer;dp;math;Digit DP
735,280-B,-0.77777778,1800,data structures;implementation;two pointers
736,1407-D,0.11111111,2200,data structures;dp;graphs;Monotonic Stack
737,1941-A,-3.00000000,800,brute force;math;Brute Force Enumeration
738,1941-B,-2.55555556,1000,brute force;dp;greedy;math
739,1941-C,-2.77777778,900,dp;greedy;strings;String Matching
740,1941-D,-2.11111111,1200,dp;graphs;implementation;State Simulation
741,1742-F,-1.44444444,1500,constructive algorithms;greedy;strings;State Simulation
742,1971-G,-1.00000000,1700,data structures;dsu;sortings;Custom Comparator Sorting;Hash Map;Priority Queue
743,1742-E,-2.11111111,1200,binary search;greedy;math;Binary Search on Array
744,1679-C,-1.66666667,1400,data structures;implementation;Simulation;Stack
745,1612-D,-1.22222222,1600,math;number theory;Modular Arithmetic;Prime Sieve
746,1530-D,-1.22222222,1600,constructive algorithms;flows;graphs;greedy;math;Activity Selection
747,1603-B,-1.22222222,1600,constructive algorithms;math;number theory;Modular Arithmetic;Prime Sieve
748,1603-A,-1.88888889,1300,constructive algorithms;math;number theory;Modular Arithmetic;Prime Sieve
749,1893-B,-1.00000000,1700,constructive algorithms;greedy;sortings;two pointers;Greedy Sorting;Two Pointers on Sorted Array
750,1660-D,-1.22222222,1600,brute force;implementation;math;two pointers;Brute Force Enumeration;GCD
751,1363-C,-1.22222222,1600,games;trees;Tree DFS
752,1743-A,-3.00000000,800,brute force;combinatorics;implementation;math;Combinations
753,1166-A,-2.77777778,900,combinatorics;greedy
754,535-B,-2.33333333,1100,bitmasks;brute force;combinatorics;implementation
755,1681-D,-1.00000000,1700,brute force;dp;graphs;hashing;shortest paths
756,1678-B1,-3.00000000,800,implementation;Brute Force Enumeration;Simulation
757,1632-C,-1.22222222,1600,binary search;bitmasks;brute force;dp;math;1D DP;Binary Search on Array
758,1363-B,-1.66666667,1400,implementation;strings;Simulation;String Matching
759,1454-A,-3.00000000,800,constructive algorithms;probabilities;Permutations;Simulation
760,1459-A,-3.00000000,800,math;probabilities;Conditional Probability;Expected Value
761,839-C,-1.44444444,1500,dp;graphs;probabilities;trees;Expected Value;Tree DP
762,843-B,-0.33333333,2000,brute force;interactive;probabilities
763,1285-C,-1.66666667,1400,brute force;math;number theory;GCD
764,1766-D,-1.22222222,1600,math;number theory;Prime Factorization;Prime Sieve
765,1373-D,-1.22222222,1600,divide and conquer;dp;greedy;implementation;Prefix Sum;Simulation
766,1675-A,-3.00000000,800,greedy;math;GCD
767,1675-B,-2.77777778,900,greedy;implementation;Activity Selection;Simulation
768,1675-D,-1.88888889,1300,graphs;implementation;trees;BFS;Simulation
769,1675-C,-2.33333333,1100,implementation;Brute Force Enumeration;Simulation
770,1792-D,-1.00000000,1700,binary search;bitmasks;data structures;hashing;math;sortings
771,1700-C,-1.00000000,1700,constructive algorithms;data structures;greedy;Prefix Sum
772,1660-F1,-1.00000000,1700,brute force;implementation;math;strings;Brute Force Enumeration;GCD
773,1661-C,-1.00000000,1700,binary search;greedy;math;Activity Selection;Binary Search on Array
774,1688-A,-3.00000000,800,bitmasks;brute force;Bitmask Enumeration
775,893-B,-2.55555556,1000,brute force;implementation;Brute Force Enumeration
776,1902-D,-0.55555556,1900,binary search;data structures;dp;implementation;Binary Search on Array;Hash Map
777,1423-K,-1.22222222,1600,binary search;math;number theory;two pointers;Binary Search on Answer
778,105-A,-1.00000000,1700,implementation;Simulation
779,980-B,-1.22222222,1600,constructive algorithms
780,1095-D,-1.22222222,1600,implementation;Simulation
781,735-D,-1.22222222,1600,math;number theory;Prime Sieve
782,1396-A,-1.22222222,1600,constructive algorithms;greedy;number theory;Modular Arithmetic
783,1207-D,-0.77777778,1800,combinatorics
784,1213-D1,-1.44444444,1500,brute force;implementation;Brute Force Enumeration
785,1396-B,-0.77777778,1800,brute force;constructive algorithms;games;greedy;Brute Force Enumeration
786,1182-C,-1.00000000,1700,data structures;greedy;strings
787,1290-B,-0.77777778,1800,binary search;constructive algorithms;data structures;strings;two pointers;Two Pointers on Sorted Array
788,1295-D,-0.77777778,1800,math;number theory;GCD
789,61-E,-0.55555556,1900,data structures;trees;Fenwick Tree
790,459-D,-0.77777778,1800,data structures;divide and conquer;sortings;Fenwick Tree
791,1329-A,-0.77777778,1800,constructive algorithms;greedy;implementation;math;Simulation
792,1156-B,-0.77777778,1800,graphs;greedy;implementation;sortings;strings
793,1237-C2,-0.55555556,1900,binary search;constructive algorithms;divide and conquer;greedy;implementation;sortings;Coordinate Compression
794,1110-D,0.11111111,2200,dp;2D DP
795,1734-A,-3.00000000,800,brute force;greedy;sortings;Sliding Window
796,1734-C,-2.11111111,1200,greedy;math;Divisors
797,1949-I,-0.77777778,1800,geometry;graph matchings;graphs;Bipartite Graph Check;Distance Between Points
798,1941-F,-0.77777778,1800,binary search;greedy;sortings;two pointers;Binary Search on Array
799,471-D,-0.77777778,1800,string suffix structures;strings;Z Algorithm
800,300-C,-0.77777778,1800,brute force;combinatorics;Combinations
801,1203-F1,-0.11111111,2100,greedy
802,510-D,-0.55555556,1900,bitmasks;brute force;dp;math;GCD
803,134-B,-0.55555556,1900,brute force;graphs;math;number theory
804,1907-F,-0.77777778,1800,greedy;sortings
805,325-B,-0.77777778,1800,binary search;math;Binary Search on Answer
806,1280-A,-1.00000000,1700,implementation;math;Simulation
807,691-D,-1.00000000,1700,dsu;graphs;math
808,223-A,-1.00000000,1700,data structures;expression parsing;implementation;Stack
809,1109-B,-0.77777778,1800,constructive algorithms;hashing;strings
810,1495-B,-0.55555556,1900,games;greedy;Greedy Sorting
811,818-E,-0.55555556,1900,binary search;data structures;number theory;two pointers;Prime Factorization;Two Pointers on Sorted Array
812,678-D,-1.00000000,1700,math;number theory;Fast Exponentiation;Modular Inverse
813,1157-C2,-1.00000000,1700,greedy
814,863-D,-0.77777778,1800,data structures;implementation
815,825-B,-1.22222222,1600,brute force;implementation;Brute Force Enumeration
816,1665-C,-1.22222222,1600,binary search;greedy;sortings;trees;Binary Search on Array
817,518-A,-1.22222222,1600,constructive algorithms;strings
818,645-C,-1.22222222,1600,binary search;two pointers;Binary Search on Answer
819,1649-A,-3.00000000,800,implementation;Simulation
820,1981-C,-0.77777778,1800,bitmasks;brute force;constructive algorithms;greedy;implementation;math
821,978-D,-1.44444444,1500,brute force;implementation;math;Brute Force Enumeration
822,120-E,-1.66666667,1400,games;math
823,1413-D,-1.00000000,1700,data structures;greedy;implementation;Priority Queue;Stack
824,1690-F,-1.00000000,1700,graphs;math;number theory;strings;LCM
825,1352-E,-1.44444444,1500,brute force;implementation;two pointers;Prefix Sum
826,1684-D,-1.00000000,1700,constructive algorithms;greedy;sortings;Activity Selection
827,577-A,-2.55555556,1000,implementation;number theory;Divisors
828,499-B,-2.55555556,1000,implementation;strings
829,1353-C,-2.55555556,1000,math;Distance Between Points
830,320-A,-2.77777778,900,brute force;greedy
831,1339-A,-2.77777778,900,brute force;dp;implementation;math;Simulation
832,1373-B,-2.77777778,900,games;Brute Force Enumeration;Simulation
833,268-B,-2.55555556,1000,implementation;math
834,450-A,-2.55555556,1000,implementation
835,1535-B,-2.77777778,900,brute force;greedy;math;number theory;sortings;Brute Force Enumeration;GCD
836,1742-C,-2.77777778,900,implementation;Simulation
837,1182-A,-2.55555556,1000,dp;math;1D DP
838,1714-A,-2.77777778,900,implementation;math;Simulation
839,139-A,-2.55555556,1000,implementation;Simulation
840,74-A,-2.55555556,1000,implementation
841,1373-A,-2.55555556,1000,greedy;implementation;math;Brute Force Enumeration;Simulation
842,237-A,-2.55555556,1000,implementation;Simulation
843,978-C,-2.55555556,1000,binary search;implementation;two pointers;Two Pointers on Sorted Array
844,363-B,-2.33333333,1100,brute force;dp;Sliding Window
845,519-B,-2.33333333,1100,data structures;implementation;sortings
846,1877-A,-3.00000000,800,math
847,1886-A,-3.00000000,800,brute force;constructive algorithms;math;Brute Force Enumeration;Modular Arithmetic
848,1324-B,-2.33333333,1100,brute force;strings;Brute Force Enumeration
849,1324-C,-2.33333333,1100,binary search;data structures;graphs;greedy;implementation;Binary Search on Answer
850,1334-B,-2.33333333,1100,greedy;sortings;Greedy Sorting
851,1342-B,-2.33333333,1100,constructive algorithms;strings;Simulation
852,1626-B,-2.33333333,1100,greedy;strings;Greedy Sorting;String Matching
853,651-A,-2.33333333,1100,dp;greedy;implementation;math;Greedy Sorting;Modular Arithmetic
854,1108-B,-2.33333333,1100,brute force;greedy;math;number theory;Prime Factorization
855,1547-C,-2.33333333,1100,greedy;two pointers;Two Pointers on Sorted Array
856,258-A,-2.33333333,1100,greedy;math
857,300-A,-2.33333333,1100,brute force;constructive algorithms;implementation
858,474-B,-2.11111111,1200,binary search;implementation;Binary Search on Array
859,1520-D,-2.11111111,1200,data structures;hashing;math;String Hashing
860,1343-C,-2.11111111,1200,dp;greedy;two pointers;Two Pointers on Sorted Array
861,1363-A,-2.11111111,1200,brute force;implementation;math;1D DP
862,1352-B,-2.11111111,1200,constructive algorithms;math;Modular Arithmetic;Simulation
863,459-A,-2.11111111,1200,implementation
864,1814-A,-3.00000000,800,implementation;math;GCD
865,1907-B,-2.55555556,1000,data structures;implementation;strings;Simulation;Stack
866,1907-C,-2.11111111,1200,constructive algorithms;greedy;math;strings
867,1339-B,-2.11111111,1200,constructive algorithms;sortings;Custom Comparator Sorting
868,1913-A,-3.00000000,800,implementation;Brute Force Enumeration
869,1913-B,-2.55555556,1000,strings
870,1825-A,-3.00000000,800,greedy;strings;Palindrome Detection
871,1334-A,-2.11111111,1200,implementation;math;Simulation
872,1916-A,-3.00000000,800,constructive algorithms;implementation;math;number theory;Divisors
873,1866-A,-3.00000000,800,math
874,1916-C,-2.11111111,1200,constructive algorithms;games;greedy;implementation;math
875,1406-B,-2.11111111,1200,brute force;dp;greedy;implementation;sortings;Brute Force Enumeration;Greedy Sorting
876,1294-B,-2.11111111,1200,implementation;sortings;Custom Comparator Sorting
877,1747-C,-2.11111111,1200,games
878,27-A,-2.11111111,1200,implementation;sortings
879,1926-A,-3.00000000,800,implementation;Simulation
880,1926-E,-1.44444444,1500,binary search;bitmasks;data structures;dp;implementation;math;number theory
881,1437-B,-2.11111111,1200,constructive algorithms;greedy;Simulation
882,459-B,-1.88888889,1300,combinatorics;implementation;sortings;Combinations
883,1294-C,-1.88888889,1300,greedy;math;number theory;Prime Factorization
884,1679-B,-2.11111111,1200,data structures;implementation;Simulation;Stack
885,1582-C,-2.11111111,1200,brute force;data structures;greedy;strings;two pointers;Longest Increasing Subsequence;Two Pointers on Sorted Array
886,1731-B,-2.33333333,1100,greedy;math;Modular Arithmetic
887,688-A,-3.00000000,800,implementation
888,678-A,-3.00000000,800,implementation;math;Modular Arithmetic
889,1981-A,-3.00000000,800,brute force;greedy;math;Divisors
890,1612-C,-1.88888889,1300,binary search;math;Binary Search on Array;Modular Arithmetic
891,1470-A,-1.88888889,1300,binary search;dp;greedy;sortings;two pointers;1D DP;Binary Search on Answer
892,1459-B,-1.88888889,1300,dp;math;1D DP
893,1372-B,-1.88888889,1300,greedy;math;number theory;Divisors;LCM
894,1285-B,-1.88888889,1300,dp;greedy;implementation;1D DP
895,1119-B,-1.88888889,1300,binary search;flows;greedy;sortings;Binary Search on Answer
896,808-B,-1.88888889,1300,data structures;implementation;math;Prefix Sum
897,1913-C,-1.88888889,1300,binary search;bitmasks;brute force;greedy
898,1690-D,-2.55555556,1000,implementation;two pointers;Simulation;Sliding Window
899,1437-D,-1.22222222,1600,graphs;greedy;shortest paths;trees;BFS;Simulation
900,1730-B,-1.22222222,1600,binary search;geometry;greedy;implementation;math;ternary search
901,1325-D,-1.00000000,1700,bitmasks;constructive algorithms;greedy;number theory;Bitmask Enumeration
902,1152-B,-1.88888889,1300,bitmasks;constructive algorithms;graphs;math
903,1407-C,-1.22222222,1600,constructive algorithms;interactive;math;two pointers
904,1955-F,-0.77777778,1800,dp;games;greedy;math;Schedules
905,1862-E,-1.22222222,1600,constructive algorithms;data structures;greedy;Priority Queue
906,1711-B,-1.88888889,1300,brute force;graphs;Brute Force Enumeration;Graph Representation
907,1787-C,-1.22222222,1600,dp;greedy;math;1D DP
908,1700-A,-3.00000000,800,constructive algorithms;greedy;math;Difference Array
909,1700-B,-2.33333333,1100,constructive algorithms;implementation;math;Simulation
910,1700-D,-0.55555556,1900,binary search;dp;greedy;math;Prefix Sum
911,1688-B,-3.00000000,800,bitmasks;constructive algorithms;greedy;sortings;Bitmask Enumeration
912,1688-C,-1.00000000,1700,constructive algorithms;greedy;strings;Activity Selection;Simulation
913,1690-A,-3.00000000,800,constructive algorithms;greedy;Activity Selection;Simulation
914,1690-B,-3.00000000,800,greedy;implementation;Activity Selection
915,1690-C,-3.00000000,800,data structures;greedy;implementation;Activity Selection;Stack
916,1690-E,-1.44444444,1500,binary search;greedy;math;two pointers;Two Pointers on Sorted Array
917,1681-A,-3.00000000,800,games;greedy;Recursion
918,1681-B,-3.00000000,800,implementation;math;GCD;Simulation
919,1681-C,-2.11111111,1200,implementation;sortings;Custom Comparator Sorting;Simulation
920,1684-A,-3.00000000,800,constructive algorithms;games;math;strings;Recursion
921,1684-C,-1.66666667,1400,brute force;constructive algorithms;greedy;implementation;sortings
922,1684-E,-0.11111111,2100,binary search;brute force;constructive algorithms;data structures;greedy;two pointers;Binary Search on Array
923,1679-A,-2.77777778,900,brute force;greedy;math;number theory;Activity Selection
924,1679-D,-0.55555556,1900,binary search;dp;graphs;Binary Search on Array
925,1678-A,-3.00000000,800,implementation;Brute Force Enumeration;Simulation
926,1670-A,-3.00000000,800,greedy;implementation;sortings;Activity Selection
927,1670-B,-2.33333333,1100,brute force;implementation;strings;String Matching
928,1670-C,-1.66666667,1400,data structures;dsu;graphs;implementation;math;Stack
929,1670-D,-1.00000000,1700,binary search;brute force;geometry;greedy;implementation;math;Binary Search on Array
930,1675-E,-1.44444444,1500,dsu;greedy;strings;Activity Selection;Connected Components
931,1674-A,-3.00000000,800,constructive algorithms;math;GCD
932,1674-B,-3.00000000,800,combinatorics;math;GCD;Permutations
933,1674-C,-2.55555556,1000,combinatorics;implementation;strings;Permutations;Simulation
934,1674-D,-2.11111111,1200,constructive algorithms;implementation;sortings;Custom Comparator Sorting
935,1674-F,-0.77777778,1800,data structures;greedy;implementation;Activity Selection;Stack
936,508-E,0.11111111,2200,dp;greedy
937,729-F,0.77777778,2500,dp;2D DP
938,1886-D,-0.11111111,2100,combinatorics;data structures;math;Permutations
939,1886-B,-2.11111111,1200,binary search;geometry;math;Distance Between Points
940,1213-D2,-1.22222222,1600,brute force;math;sortings;Custom Comparator Sorting
941,1685-A,-2.33333333,1100,constructive algorithms;greedy;sortings;Activity Selection;Simulation
942,1110-C,-1.44444444,1500,constructive algorithms;math;number theory;GCD
943,1949-B,-1.44444444,1500,binary search;brute force;greedy;sortings;Binary Search on Answer
944,455-A,-1.44444444,1500,dp;1D DP
945,1254-B1,-0.77777778,1800,constructive algorithms;greedy;math;number theory;ternary search;two pointers;Prefix Sum
946,1922-E,-0.77777778,1800,bitmasks;constructive algorithms;divide and conquer;greedy;math
947,1367-D,-0.77777778,1800,constructive algorithms;greedy;implementation;sortings;Simulation
948,1809-D,-0.77777778,1800,constructive algorithms;greedy
949,1969-D,-0.55555556,1900,data structures;greedy;math;sortings;Custom Comparator Sorting;Priority Queue
950,1627-D,-0.55555556,1900,brute force;dp;math;number theory;1D DP;Brute Force Enumeration
951,1186-C,-0.77777778,1800,implementation;math
952,1353-E,-0.55555556,1900,brute force;dp;greedy;1D DP;Greedy Sorting
953,1547-F,-0.55555556,1900,binary search;brute force;data structures;divide and conquer;number theory;two pointers;GCD;Two Pointers on Sorted Array
954,61-D,-0.77777778,1800,graphs;greedy;shortest paths;trees;Tree DFS
955,1157-F,-0.33333333,2000,constructive algorithms;dp;greedy;two pointers
956,1872-G,-0.33333333,2000,brute force;greedy;math;Brute Force Enumeration
957,2-B,-0.33333333,2000,dp;math;2D DP
958,671-B,-0.33333333,2000,binary search;greedy;Binary Search on Answer
959,1847-A,-3.00000000,800,greedy;sortings;Greedy Sorting
960,1847-B,-2.55555556,1000,bitmasks;greedy;two pointers
961,1853-B,-2.11111111,1200,binary search;brute force;math
962,445-A,-2.11111111,1200,graphs;implementation;Bipartite Graph Check
963,298-B,-2.11111111,1200,brute force;greedy;implementation
964,222-A,-2.11111111,1200,brute force;implementation;Simulation
965,1661-B,-1.88888889,1300,bitmasks;brute force;dp;graphs;greedy;shortest paths;Bitmask Enumeration;Brute Force Enumeration
966,1182-B,-1.88888889,1300,graphs;implementation;strings;DFS
967,1766-C,-1.88888889,1300,dp;implementation;Simulation
968,1037-C,-1.88888889,1300,dp;greedy;strings;1D DP
969,1108-D,-1.66666667,1400,constructive algorithms;dp;greedy
970,831-C,-1.00000000,1700,brute force;constructive algorithms;Brute Force Enumeration
971,1433-D,-2.11111111,1200,constructive algorithms;graphs
972,60-B,-1.66666667,1400,dsu;graphs;BFS;Simulation
973,1520-E,-1.66666667,1400,greedy;math;Activity Selection
974,1362-C,-1.66666667,1400,bitmasks;greedy;math;Bitmask Enumeration;Greedy Sorting
975,1110-B,-1.66666667,1400,greedy;sortings;Custom Comparator Sorting
976,1338-A,-1.44444444,1500,greedy;math;Simulation
977,1139-C,-1.44444444,1500,dsu;graphs;math;trees
978,1084-C,-1.44444444,1500,combinatorics;dp;implementation;1D DP
979,1857-E,-1.44444444,1500,math;sortings;Custom Comparator Sorting;Difference Array
980,1743-C,-2.33333333,1100,constructive algorithms;dp;greedy;Simulation
981,1772-A,-3.00000000,800,implementation;Simulation
982,1772-B,-3.00000000,800,brute force;implementation;Brute Force Enumeration
983,1731-A,-3.00000000,800,greedy;math;Greedy Sorting
984,352-A,-2.55555556,1000,brute force;implementation;math
985,347-B,-2.33333333,1100,brute force;implementation;math
986,500-A,-2.55555556,1000,graphs;implementation
987,893-C,-1.88888889,1300,graphs;greedy
988,616-C,-1.22222222,1600,graphs;Connected Components
989,1617-A,-3.00000000,800,constructive algorithms;greedy;sortings;strings;Graph Representation;Greedy Sorting
990,1617-B,-2.77777778,900,brute force;constructive algorithms;math;number theory;Brute Force Enumeration;Modular Arithmetic
991,1660-A,-3.00000000,800,greedy;math;Activity Selection;GCD
992,1660-B,-3.00000000,800,math;GCD;LCM
993,1650-A,-3.00000000,800,implementation;strings;Simulation;String Matching
994,1650-B,-2.77777778,900,math;Modular Arithmetic
995,705-A,-3.00000000,800,implementation;Recursion
996,1632-A,-3.00000000,800,implementation;Simulation
997,1714-B,-3.00000000,800,data structures;greedy;implementation;Hash Map;Simulation
998,1714-C,-3.00000000,800,greedy
999,948-A,-2.77777778,900,brute force;graphs;implementation
1000,1033-A,-2.55555556,1000,graphs;implementation
1001,1730-A,-3.00000000,800,data structures;greedy;sortings;Hash Map
1002,1730-C,-2.11111111,1200,data structures;greedy;math;sortings;Monotonic Stack
1003,999-A,-3.00000000,800,brute force;implementation;Brute Force Enumeration
1004,999-B,-2.77777778,900,implementation
1005,1003-A,-3.00000000,800,implementation
1006,1003-B,-1.88888889,1300,constructive algorithms;Simulation
1007,1003-C,-1.88888889,1300,brute force;implementation;math;Brute Force Enumeration
1008,999-C,-2.11111111,1200,implementation
1009,1108-A,-3.00000000,800,implementation
1010,1742-A,-3.00000000,800,implementation
1011,1742-B,-3.00000000,800,greedy;implementation;sortings
1012,1742-G,-1.44444444,1500,bitmasks;brute force;greedy;math;sortings
1013,1007-A,-1.88888889,1300,combinatorics;data structures;math;sortings;two pointers;Two Pointers on Sorted Array
1014,152-C,-1.66666667,1400,combinatorics;Brute Force Enumeration
1015,797-A,-2.33333333,1100,implementation;math;number theory
1016,633-A,-2.33333333,1100,brute force;math;number theory
1017,177-B1,-2.55555556,1000,number theory;Prime Factorization
1018,1593-D1,-2.33333333,1100,math;number theory;Modular Arithmetic;Prime Sieve
1019,299-A,-2.55555556,1000,brute force;number theory;sortings;GCD
1020,68-A,-2.33333333,1100,implementation;number theory
1021,762-A,-1.66666667,1400,math;number theory;Divisors
1022,660-A,-2.11111111,1200,greedy;implementation;math;number theory;GCD
1023,1766-A,-3.00000000,800,brute force;implementation;Brute Force Enumeration
1024,965-A,-3.00000000,800,math;Modular Arithmetic
1025,718-C,0.33333333,2300,data structures;math;matrices;Fast Exponentiation;Lazy Segment Tree
1026,711-E,0.33333333,2300,math;number theory;probabilities
1027,1633-E,0.55555556,2400,binary search;data structures;dsu;graphs;greedy;math;sortings;trees;Binary Search on Array;Greedy Sorting
1028,1633-F,1.44444444,2800,data structures;divide and conquer;interactive;trees;Hash Map;Tree DFS
1029,1720-D2,0.55555556,2400,bitmasks;data structures;dp;strings;trees
1030,1725-L,0.55555556,2400,data structures;Fenwick Tree
1031,1735-A,-3.00000000,800,constructive algorithms;greedy;math;Simulation
1032,1735-B,-2.77777778,900,greedy;math;Activity Selection;Difference Array
